prompt,latitude_correlation,latitude_p_value,longitude_correlation,longitude_p_value,n_samples
friendly,0.17358259582920738,0.3678457270015755,-0.185706091314315,0.33479893615303274,29
information,0.31596071159324224,0.09497036835313188,-0.39537133843617206,0.03376667509690993,29
official,0.4936766672402589,0.006496877399337124,-0.5304687631721016,0.003074154384204765,29
scary,0.4545463222894231,0.013241407171990618,-0.5008877382108068,0.005646414690537068,29
warning,0.20581865324368187,0.2841093209900137,-0.24682858861636534,0.19676416816533762,29
